id,description,price,mileage,year,age,transmission,size,power,fuel
36,Nissan Juke 1.6 DIG-T Nismo RS (Tech Pack) 5dr,15600,11759,2017,1,Manual,1.6,215,Petrol
37,Nissan Juke 1.6 Dig-t Nismo RS Xtronic 4WD 5dr,15490,13548,2015,3,Automatic,1.6,211,Petrol
38,Nissan Juke 1.6 DIG-T Nismo RS M-Xtronic 4WD 5dr,15490,7000,2016,2,Automatic,1.6,211,Petrol
39,Nissan Juke 1.6 DiG-T Nismo RS 5dr,15480,10826,2016,2,Manual,1.6,215,Petrol
40,Nissan Juke 1.6 DiG-T Nismo RS 5dr,15480,6101,2017,1,Manual,1.6,215,Petrol
41,Nissan Juke 1.6 DiG-T Nismo RS 5dr,15430,2684,2017,1,Manual,1.6,215,Petrol
42,Nissan Juke 1.6 NISMO RS DIG-T 5dr,15295,17564,2015,3,Manual,1.6,215,Petrol
43,Nissan Juke 1.6 DIG-T 4X4 Nismo RS 5-Door Hatchback 5dr,15290,15157,2016,2,Automatic,1.6,211,Petrol
44,Nissan Juke 1.6 DIG-T 4X4 Nismo RS 5-Door Hatchback 5dr,15290,15157,2016,2,Automatic,1.6,211,Petrol
45,Nissan Juke 1.6 DIG-T Nismo RS 5-Door Hatchback 5dr,15250,11876,2017,1,Manual,1.6,215,Petrol
46,Nissan Juke 1.6 DIG-T NISMO RS M-Xtronic 4WD 5d 211 BHP SAT NAV &hellip;,15250,14000,2016,2,Automatic,1.6,211,Petrol
47,Nissan Juke 1.6 DiG-T Nismo RS 5dr,15230,5888,2017,1,Manual,1.6,215,Petrol
48,Nissan Juke 1.6 DIG-T Nismo RS M-Xtronic 4x4 5dr,15195,15329,2016,2,Automatic,1.6,211,Petrol
49,Nissan Juke 1.6 DiG-T Nismo RS 5dr 4WD Xtronic,15000,20432,2015,3,Automatic,1.6,211,Petrol
50,Nissan Juke 1.6 DiG-T Nismo RS [Recaro Pack] 5dr,15000,8914,2016,2,Manual,1.6,215,Petrol
51,Nissan Juke 1.6 DIG-T Nismo RS 5dr,15000,4529,2016,2,Manual,1.6,215,Petrol
52,Nissan Juke 1.6 DIG-T Nismo RS SUV 5dr Petrol M-Xtronic 4X4 (172 &hellip;,15000,13036,2016,2,Automatic,1.6,211,Petrol
53,Nissan Juke 1.6 DiG-T Nismo RS 5dr 4WD Xtronic,14999,9814,2016,2,Automatic,1.6,211,Petrol
54,Nissan Juke 1.6 DiG-T Nismo RS 5dr 4WD Xtronic,14999,8396,2016,2,Automatic,1.6,211,Petrol
56,Nissan Juke 1.6 DIG-T Nismo RS 5dr,14999,5339,2016,2,Manual,1.6,215,Petrol
57,Nissan Juke 1.6 DiG-T Nismo RS 5dr,14998,8340,2016,2,Manual,1.6,215,Petrol
58,Nissan Juke Nismo Rs Dig-t 1.6 5dr,14995,8752,2015,3,Manual,1.6,215,Petrol
59,Nissan Juke Hatchback 5-Door 1.6 4X4 Nismo RS 5dr,14995,13140,2015,3,Automatic,1.6,211,Petrol
60,Nissan Juke 1.6 DIG-T Nismo RS 5-Door Hatchback 5dr,14990,4974,2017,1,Manual,1.6,215,Petrol
61,Nissan Juke 1.6 DiG-T Nismo RS 5dr 4WD Xtronic - BEAUTIFIUL &hellip;,14990,17000,2016,2,Automatic,1.6,211,Petrol
62,Nissan Juke 1.6 DiG-T Nismo RS 5dr 4WD Xtronic,14990,19645,2015,3,Automatic,1.6,211,Petrol
